ta·lhe,"nome masculino",tˈa.ʎi
ta·lher,"nome masculino",ta.ʎˈeɾ
ta·lhi·nha,"nome feminino",ta.ʎˈi.ɲə
ta·lho,"nome masculino",tˈa.ʎʊ
ta·li·ão,"nome masculino",ta.li.ˈə̃w
ta·li·bã,"nome masculino",ta.li.bˈə̃
ta·li·ban,"nome masculino",
ta·li·do·mi·da,"nome feminino",ta.li.do.mˈi.də
"tá·li· o","nome masculino",tˈa.ljʊ
ta·lis·ca,"nome feminino",ta.lˈis.kə
ta·lis·mã,"nome masculino",ta.liz.mˈə̃
talk-show,"nome masculino",
tal·mú·di·co,adjetivo,taw.mˈu.dʒi.kʊ
tal·mu·dis·mo,"nome masculino",taw.mu.dʒˈiz.mʊ
ta·lo,"nome masculino",tˈa.lʊ
ta·lu·da,"nome feminino",ta.lˈu.də
ta·lu·dar,verbo,ta.lu.dˈa
ta·lu·de,"nome masculino",ta.lˈu.dʒi
ta·lu·do,adjetivo,ta.lˈu.dʊ
tal·vez,advérbio,taw.vˈes
ta·man·ca,"nome feminino",ta.mˈə̃.kə
ta·man·co,"nome masculino",ta.mˈə̃.kʊ
ta·man·co,adjetivo,ta.mˈə̃.kʊ
ta·ma·nhão,adjetivo,ta.ma.ɲˈə̃w
ta·ma·nhão,"nome masculino",ta.ma.ɲˈə̃w
ta·ma·nhi·nho,"nome masculino",ta.ma.ɲˈi.ɲʊ
ta·ma·nhi·nho,adjetivo,ta.ma.ɲˈi.ɲʊ
ta·ma·nho,"nome masculino",ta.mˈə.ɲʊ
ta·ma·nho,adjetivo,ta.mˈə.ɲʊ
ta·man·quei·ro,"nome masculino",ta.mə̃.kˈej.ɾʊ
ta·man·qui·nha,"nome feminino",ta.mə̃.kˈi.ɲə
tâ·ma·ra,"nome feminino",tˈə.ma.ɾə
ta·ma·rei·ra,"nome feminino",ta.ma.ɾˈej.ɾə
ta·mar·guei·ra,"nome feminino",ta.maɾ.gˈej.ɾə
ta·ma·rin·do,"nome masculino",ta.ma.ɾˈĩ.dʊ
ta·ma·riz,"nome masculino",ta.ma.ɾˈis
tam·bém,advérbio,tə̃.bˈeɲ
tam·bo,"nome masculino",tˈə̃.bʊ
tam·bor,"nome masculino",tə̃.bˈoɾ
tam·bo·re·te,"nome masculino",tə̃.bo.ɾˈe.tʃi
tam·bo·ril,"nome masculino",tə̃.bo.ɾˈiw
tam·bo·ri·lar,verbo,tə̃.bo.ɾi.lˈa
tam·bo·ri·lei·ro,adjetivo,tə̃.bo.ɾi.lˈej.ɾʊ
tam·bo·ri·lei·ro,"nome masculino",tə̃.bo.ɾi.lˈej.ɾʊ
tam·bo·rim,"nome masculino",tə̃.bo.ɾˈiɲ
ta·mei·ra,"nome feminino",ta.mˈej.ɾə
tâ·mil,adjetivo,tˈə.miw
tâ·mil,"nome masculino","tˈə.miw ou tˈə.miw"
ta·mis,"nome masculino",ta.mˈis
ta·mi·sar,verbo,ta.mi.zˈa
tam·pa,"nome feminino",tˈə̃.pə
tam·pão,"nome masculino",tə̃.pˈə̃w
tam·pão,adjetivo,tə̃.pˈə̃w
tam·par,verbo,tə̃.pˈa
tam·po,"nome masculino",tˈə̃.pʊ
tam·po·na·men·to,"nome masculino",tə̃.po.na.mˈẽj.tʊ
tam·po·nar,verbo,tə̃.po.nˈa
tam·pou·co,advérbio,tə̃.pˈo.kʊ
ta·nas,"nome masculino",tˈə.nəs
ta·na·to,"nome masculino",ta.nˈa.tʊ
ta·na·to·lo·gi·a,"nome feminino",ta.na.to.lo.ʒˈi.jə
tan·cre·do,"nome masculino",tə̃.kɾˈe.dʊ
tan·dem,"nome masculino",tˈə̃.dẽ
tan·do,"nome masculino",tˈə̃.dʊ
tan·ga,"nome feminino",tˈə̃.gə
